标题,薪资,地点,经验,学历,岗位标签,岗位福利,公司名称,所属行业,融资情况,公司规模,公司规模1,SQL,PYTHON,R,EXCEL,SAS,HIVE,SPSS,PPT,BI,HADOOP,TABLEAU,SPARK,MYSQL,JAVA,ORACLE,LINUX,OFFICE,MATLAB,SVM,ERP,SCALA,PANDAS,NLP,TENSORFLOW,INSIGHTS,POWERBI,MONGODB,GEKKO,HBASE
数据分析师,20k-30k,北京 ,经验3-5年 ,本科及以上 ,"互联网金融,数据分析,SQL",免费午餐 发展空间大 团队氛围好,闪银奇异,"移动互联网,金融",D轮及以上,招商局、SIG、光远资本领投(C轮)，SIG(B轮)，IDG资本(A轮)，玖富时代(天使轮),,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析（融资方向）,8k-14k,北京 ,经验1-3年 ,本科及以上 ,"BI,SQL,数据库",发展空间大 团队nice,有利网,金融,不需要融资,晨兴资本(B轮)，软银中国(A轮)，高瓴资本(C轮),,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,25k-50k,北京 ,经验1-3年 ,本科及以上 ,电商,良好的发展前景,小红书,消费生活,D轮及以上,500-2000人,500-2000人,T,T,F,F,F,T,F,F,F,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F
数据分析,8k-12k,北京 ,经验1年以下 ,本科及以上 ,"教育,电商,绩效管理,绩效考核,薪酬福利,人力资源","五险一金,上市公司,万人规模",尚德机构,教育,上市公司,2000人以上,2000人以上,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"商业,SQL,数据分析","弹性工作,出海产品,挑战大,海量数据",动动,"移动互联网,医疗丨健康",B轮,50-150人,50-150人,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（金融）,20k-40k,北京 ,经验3-5年 ,本科及以上 ,"商业,可视化,数据分析","领导好,股票期权,奖金多,靠谱CEO",车好多集团,消费生活,D轮及以上,H CAPITAL、招银电信基金、首钢基金、红杉资本、经纬创投、蓝驰创投等(B轮)，红杉资本、光信资本，山行资本、微光创投、风云天使基金、诺伟其投资、经纬中国等(A轮),,T,T,F,T,T,T,T,T,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"商业,SQL,数据分析","弹性工作,出海产品,挑战大,海量数据",动动,"移动互联网,医疗丨健康",B轮,50-150人,50-150人,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-15k,北京 ,经验1-3年 ,本科及以上 ,"银行,大数据,数据分析",七险一金，不加班；晋升快速，涨知识；,索信达数据,人工智能,上市公司,150-500人,150-500人,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（数据处理方向）,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"数据分析,MySQL,SQLServer",发展空间大,凡普金科,金融,不需要融资,高榕资本(A轮),,T,T,T,T,T,F,T,F,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师(J10380),15k-30k,北京 ,经验3-5年 ,本科及以上 ,"教育,移动互联网,数据分析,用户增长",餐补房补，发展空间大，大牛多,伴鱼口语,移动互联网,C轮,合鲸资本(C轮)，JAFCO(B轮)，SIG(A轮),,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-20k,北京 ,经验不限 ,硕士及以上 ,"大数据,数据分析",深耕于北大，打造在线数据科学家培养平台,博雅大数据学院,教育,未融资,50-150人,50-150人,F,T,F,F,F,T,F,F,F,T,F,T,F,T,F,F,F,F,T,F,T,T,F,T,F,F,F,F,T
数据分析,13k-18k,北京 ,经验1-3年 ,本科及以上 ,"直播,数据分析,数据库,SQL",团队氛围轻松融洽 热门行业 发展前景好,齐聚科技（原呱呱视频）,"移动互联网,游戏",C轮,光线传媒(B轮)，腾讯(B轮),,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-20k,北京 ,经验1-3年 ,本科及以上 ,"SQL,数据分析",成长空间大，五险一金,玖富数科集团,金融,D轮及以上,2000人以上,2000人以上,T,F,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,10k-20k,北京 ,经验1-3年 ,本科及以上 ,数据分析,"带薪休假,商业保险,广阔平台",凤凰网,文娱丨内容,上市公司,2000人以上,2000人以上,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（增长策略）,25k-50k,北京 ,经验5-10年 ,本科及以上 ,"电商,数据分析,SQL,增长黑客",成长空间、技能提升、免费三餐,省钱快报,"移动互联网,电商",C轮,钟鼎创投、晨兴资本、中国平安(B轮)，晨兴资本(A轮)，好未来(天使轮),,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析,10k-20k,北京 ,经验3-5年 ,本科及以上 ,"BI,数据分析,SQL,数据库",五险一金，周末双休，带薪年假、节日福利,有利网,金融,不需要融资,晨兴资本(B轮)，软银中国(A轮)，高瓴资本(C轮),,T,T,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-18k,北京 ,经验1-3年 ,本科及以上 ,数据分析,班车，五险一金，发展平台，福利待遇优厚,掌众集团,"移动互联网,金融",C轮,500-2000人,500-2000人,T,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-30k,北京 ,经验3-5年 ,本科及以上 ,"BI,SQL,数据库,数据分析","免费三餐,绩效奖金,卓越团队,带薪年假",贝壳,房产家居,D轮及以上,2000人以上,2000人以上,T,F,F,T,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-35k,北京 ,经验1-3年 ,本科及以上 ,商业,五险一金，饭补,车托帮,"移动互联网,消费生活",C轮,50-150人,50-150人,T,F,F,T,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,14k-20k,北京 ,经验1-3年 ,本科及以上 ,"移动互联网,增长黑客,数据分析,商业","带薪年假多,免费午餐,弹性时间",下厨房,移动互联网,B轮,联创策源(B轮)，挚信资本(B轮),,T,T,T,F,F,T,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"SQL,SPSS",成长空间大，五险一金,玖富数科集团,金融,D轮及以上,2000人以上,2000人以上,T,T,T,T,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师-增长,15k-25k,北京 ,经验1-3年 ,本科及以上 ,"ETL,数据仓库,数据分析,SQLServer",发展空间大,凡普金科,金融,不需要融资,高榕资本(A轮),,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-40k,北京 ,经验3-5年 ,本科及以上 ,"视频,工具软件,数据分析,数据运营,SQL,商业",16薪,茄子快传,工具,B轮,150-500人,150-500人,T,T,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,6k-12k,北京 ,经验1-3年 ,本科及以上 ,"游戏,数据分析","公司平台大,福利待遇好,发展空间广,团队氛围棒",CMGE中手游,"移动互联网,游戏",上市公司,500-2000人,500-2000人,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（信息流业务方向）,10k-20k,北京 ,经验3-5年 ,本科及以上 ,"商业,数据分析",团队氛围好，职业选择清晰,爱奇艺,文娱丨内容,上市公司,2000人以上,2000人以上,T,F,F,T,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（商业分析团队）,10k-15k,北京 ,经验1-3年 ,本科及以上 ,"数据分析,SQL",七险一金，免费自助餐，健身房，大咖云集,闪银奇异,"移动互联网,金融",D轮及以上,招商局、SIG、光远资本领投(C轮)，SIG(B轮)，IDG资本(A轮)，玖富时代(天使轮),,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师(建模方向),20k-35k,北京 ,经验5-10年 ,本科及以上 ,"大数据,金融,Hadoop,算法,数据挖掘,数据分析",五险一金，餐补，交通便利，环境高大上,瑞银信,"移动互联网,金融",不需要融资,2000人以上,2000人以上,F,T,T,F,T,T,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T
数据分析师,15k-30k,北京 ,经验1-3年 ,本科及以上 ,数据分析,六险一金，弹性工作，免费三餐，团队氛围好,字节跳动,文娱丨内容,C轮,2000人以上,2000人以上,T,T,T,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验3-5年 ,本科及以上 ,数据分析,五险一金，绩效奖金，带薪年假,团车网,"移动互联网,消费生活",上市公司,500-2000人,500-2000人,T,F,T,T,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师数据科学家,20k-40k,北京 ,经验3-5年 ,硕士及以上 ,"数据分析,数据挖掘,算法","薪酬福利优,领导靠谱,成长空间",商汤科技,人工智能,C轮,2000人以上,2000人以上,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验1-3年 ,本科及以上 ,"大数据,数据挖掘,数据分析","大牛如云,技术氛围,大佬领投,七险一金",数美,"企业服务,数据服务",B轮,数美科技获1000万美元A轮融资，顺为资本、清流资本、百度风投、360投资(A轮),,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析,8k-15k,北京 ,经验1-3年 ,本科及以上 ,"数据分析,数据运营","成熟团队,上升空间",世纪佳缘,移动互联网,上市公司,500-2000人,500-2000人,T,F,F,T,F,F,F,T,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
