地点,标题,岗位标签,岗位福利,公司规模,公司名称,经验,融资情况,薪资,学历,所属行业
深圳,数据分析师,金融,需求分析 信贷 金融,2000人以上,安硕信息（amarsoft）,经验1-3年,上市公司,8k-16k,本科及以上,金融
深圳,数据分析师,"金融,数据分析","14薪起,股票期权,大牛团队,技术氛围好",,数位科技,经验5-10年,B轮,25k-50k,本科及以上,企业服务
深圳,数据分析师,"金融,数据分析,SQL","技术领先,14薪,团队优秀",50-150人,希为科技,经验3-5年,不需要融资,15k-25k,本科及以上,"企业服务,金融"
深圳,数据分析师,"视频,商业,数据分析,SQL",六险一金，班车，年终奖，免费早餐,2000人以上,YIDATEC,经验1-3年,不需要融资,8k-11k,本科及以上,"移动互联网,游戏"
深圳,数据分析师,"视频,直播",弹性工作、五险一金、领导Nice,50-150人,华驰信息,经验3-5年,未融资,12k-20k,大专及以上,金融
深圳,数据分析师,数据分析,带薪年假、定期体检、弹性工作,,每日优鲜,经验3-5年,D轮及以上,20k-30k,本科及以上,"移动互联网,电商"
深圳,数据分析师,数据分析,"福利好,待遇棒,补贴多,老板好",15-50人,叁亿广告,经验1-3年,不需要融资,5k-9k,大专及以上,"移动互联网,社交"
深圳,数据分析师,数据分析,上市公司，机会多，成长快，团队氛围好,500-2000人,万兴科技股份有限公司,经验3-5年,上市公司,12k-18k,本科及以上,移动互联网
深圳,数据分析师,数据分析,世界500强 福利好,500-2000人,恒大智慧科技有限公司,经验3-5年,不需要融资,20k-40k,本科及以上,人工智能
深圳,数据分析师,数据分析,五险一金 五天七小时 调薪机制,150-500人,百果科技,经验5-10年,B轮,10k-20k,本科及以上,"移动互联网,电商"
深圳,数据分析师,数据分析,五险一金，周末双休，下午茶，员工旅游,50-150人,金銮羊羊,经验1-3年,未融资,15k-20k,本科及以上,移动互联网
深圳,数据分析师,数据分析,五险一金、交通补贴、绩效奖金、年终奖金,50-150人,盛达瑞,经验1-3年,不需要融资,10k-18k,本科及以上,移动互联网
深圳,数据分析师,"数据分析,SPSS,SQL,BI",扁平化管理 团队氛围好,500-2000人,健康160（原就医160）,经验1-3年,上市公司,12k-24k,本科及以上,移动互联网
深圳,数据分析师,"数据分析,SQL",发展空间 公司平台,2000人以上,DJI大疆创新,经验3-5年,未融资,12k-20k,本科及以上,硬件
深圳,数据分析师,"数据分析,可视化,商业",平台大，薪资高,2000人以上,美利金融,经验3-5年,B轮,15k-25k,本科及以上,金融
深圳,数据分析师,"数据分析,数据运营,SPSS,SQL",年轻又耐撕 新零售,500-2000人,Angsi昂司,经验3-5年,未融资,15k-25k,本科及以上,"电商,消费生活"
深圳,数据分析师,"数据分析,数据运营,增长黑客",底薪高，提成厚,50-150人,领会科技,经验3-5年,不需要融资,15k-25k,本科及以上,金融
深圳,数据分析师,"通信/网络设备,电商","开放的环境,成长空间,福利丰富,扁平架构",500-2000人,一加手机,经验3-5年,未融资,15k-20k,本科及以上,硬件
深圳,数据分析师,"通信/网络设备,移动互联网,数据分析,数据库,商业,SQL",五险一金，团队氛围佳，弹性工作时间,500-2000人,gaga鲜语,经验5-10年,A轮,13k-20k,大专及以上,消费生活
深圳,数据分析师,项目管理,六险一金，餐补，带薪休假，休闲下午茶,2000人以上,字节跳动,经验1-3年,C轮,8k-15k,本科及以上,文娱丨内容
深圳,数据分析师,"医疗健康,体育,BI,数据分析,数据运营,SQL","独立自主,海量数据,节奏快,创新驱动",50-150人,懒人科技,经验3-5年,不需要融资,15k-27k,本科及以上,移动互联网
深圳,数据分析师,"移动互联网,数据分析,BI,数据运营",高薪酬股票期权热门海外业务氛围好牛人多,,小步网络,经验3-5年,B轮,20k-40k,本科及以上,移动互联网
深圳,数据分析师,"银行,数据分析,BI,数据库",金融大数据 独角兽 有期权,,海致,经验3-5年,C轮,15k-22k,本科及以上,"移动互联网,企业服务"
深圳,数据分析师,"游戏,大数据,BI,数据运营,SQL,可视化",福利待遇好；上市公司；发展机会多,500-2000人,吉比特,经验不限,上市公司,15k-30k,本科及以上,游戏
深圳,数据分析师,"游戏,数据分析,数据运营",五险一金 营养三餐 晋升空间 核心项目,150-500人,淘乐网络,经验1-3年,不需要融资,10k-18k,本科及以上,游戏
深圳,数据分析师,"云计算,大数据,SPSS,数据运营,数据分析",上市公司、技术氛围好、弹性工作制,,极光,经验1-3年,上市公司,8k-15k,本科及以上,企业服务
深圳,数据分析师 （桔子理财） (MJ...,"移动互联网,金融,风控",上市公司 五险一金 发展空间 团队激励,,乐信,经验不限,上市公司,15k-30k,本科及以上,金融
深圳,数据分析师（ AW),"大数据,SPSS",五险一金 年终福利 带薪年假 员工旅游,150-500人,爱问科技,经验1-3年,不需要融资,10k-15k,本科及以上,"移动互联网,社交"
深圳,数据分析师（2020珍爱秋季校...,数据分析,"工作环境佳,平台大,周末双休",2000人以上,珍爱网,经验应届毕业生,不需要融资,15k-25k,本科及以上,"社交,消费生活"
深圳,数据分析师（广告投放向）,"数据挖掘,数据分析",上市公司,500-2000人,乐逗游戏,经验不限,上市公司,11k-21k,本科及以上,游戏
深圳,数据分析师（评分卡）,"大数据,风控,策略设计,分析师",弹性上班 多多年假 新业务发展多,500-2000人,即有分期,经验3-5年,D轮及以上,12k-20k,本科及以上,金融
深圳,数据分析师（汽车行业）,大数据,大数据人工智能；名校系大牛；技术氛围浓,50-150人,一面数据,经验不限,A轮,8k-15k,本科及以上,"移动互联网,数据服务"
深圳,数据分析师（商品方向）,"数据分析,SQL,商业","五险一金,周末双休,水果下午茶",150-500人,立创商城,经验3-5年,A轮,15k-25k,本科及以上,"电商,硬件"
深圳,数据分析师(商业方向，初级）,大数据,大数据人工智能；名校系大牛；技术氛围浓,50-150人,一面数据,经验1年以下,A轮,8k-15k,本科及以上,"移动互联网,数据服务"
深圳,数据分析师(社交电商),"大数据,电商,数据分析,SQL",世界500强,2000人以上,京东集团,经验3-5年,上市公司,15k-25k,硕士及以上,电商
深圳,数据分析师（深圳）,"大数据,金融,数据挖掘,数据分析",精英团队，弹性工作，超长年假，福利优厚,,CraiditX,经验1-3年,B轮,13k-22k,本科及以上,"金融,数据服务"
深圳,数据分析师（实习生）,大数据,"转正机会,培训",,BDS大数易,经验应届毕业生,天使轮,3k-5k,本科及以上,人工智能
深圳,数据分析师（数据科学方向）,大数据,大数据人工智能；名校系大牛；技术氛围浓,50-150人,一面数据,经验1-3年,A轮,10k-20k,本科及以上,"移动互联网,数据服务"
深圳,数据分析师（数据运营）,"数据分析,数据运营",行业前列、合规第一、持牌经营,150-500人,鹏元征信有限公司,经验3-5年,不需要融资,15k-25k,本科及以上,"金融,数据服务"
深圳,数据分析师（数据运营方向）,"大数据,互联网金融,数据分析,数据运营",发展前景好、扁平化、晋升空间大,150-500人,木槿科技,经验1-3年,不需要融资,10k-20k,本科及以上,数据服务
深圳,数据分析师（数据资产方向）,大数据,大数据人工智能；名校系大牛；技术氛围浓,50-150人,一面数据,经验1-3年,A轮,10k-20k,本科及以上,"移动互联网,数据服务"
深圳,数据分析师（挖掘方向）,"数据分析,SPSS","上市公司,平台大,福利好,发展空间大",500-2000人,吉比特,经验3-5年,上市公司,15k-20k,本科及以上,游戏
深圳,数据分析师（银行项目）,数据分析,5天工作制 年终奖 六险一金 项目稳定,2000人以上,汇合,经验1-3年,不需要融资,8k-14k,本科及以上,"企业服务,金融"
深圳,数据分析师（用户）,"数据分析,SQL,数据库","五险一金,周末双休,水果下午茶",150-500人,立创商城,经验不限,A轮,6k-10k,学历不限,"电商,硬件"
深圳,数据分析师（用户方向）,"电商,数据分析",周末双休，五险一金，下午茶，工作氛围好,150-500人,立创商城,经验3-5年,A轮,15k-25k,本科及以上,"电商,硬件"
