城市名称,标题,地点,岗位标签,岗位福利,公司规模,公司名称,融资情况,经验,所属行业,薪资,学历
北京,数据挖掘深度学习算法工程...,北京,"数据挖掘,算法",扁平化管理 互联网大厂 免费晚餐零食,2000人以上,滴滴,不需要融资,经验5-10年,汽车丨出行,30k-60k,本科及以上
北京,数据挖掘实习生,北京,"电商,大数据,算法,数据挖掘",年终奖 五险一金 团建 期权,150-500人,一亩田,C轮,经验应届毕业生,"移动互联网,电商",6k-10k,本科及以上
北京,数据挖掘实习生,北京,"广告营销,大数据,算法,数据挖掘,数据分析","海量数据,股票期权,待遇给力",数美科技获1000万美元A轮融资，顺为资本、清流资本、百度风投、360投资(A轮),数美,B轮,经验应届毕业生,"企业服务,数据服务",3k-6k,本科及以上
北京,数据挖掘实习生,北京,"广告营销,大数据,算法,搜索,数据分析","海量数据,股票期权,待遇给力",数美科技获1000万美元A轮融资，顺为资本、清流资本、百度风投、360投资(A轮),数美,B轮,经验应届毕业生,"企业服务,数据服务",3k-6k,硕士及以上
北京,数据挖掘实习生,北京,数据挖掘,弹性工作，免费三餐，租房补贴，休闲下午茶,2000人以上,字节跳动,C轮,经验应届毕业生,文娱丨内容,8k-15k,本科及以上
北京,数据挖掘实习生,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,2000人以上,字节跳动,C轮,经验1-3年,文娱丨内容,20k-35k,本科及以上
北京,数据挖掘实习生,北京,数据挖掘,免费三餐，租房补贴，休闲下午茶，扁平管理,2000人以上,字节跳动,C轮,经验不限,文娱丨内容,3k-6k,本科及以上
北京,数据挖掘实习生,北京,"数据挖掘,Hadoop,Spark",大平台，福利好，领导nice,500-2000人,阅文集团,上市公司,经验不限,文娱丨内容,2k-4k,本科及以上
北京,数据挖掘实习生,北京,"数据挖掘,算法,Scala,SQLServer","免费通勤车,免费健身房,免费早餐",2000人以上,新浪网,上市公司,经验应届毕业生,文娱丨内容,3k-5k,硕士及以上
北京,数据挖掘实习生（2020届硕士...,北京,"移动互联网,数据运营,数据分析,数据库",周末双休、交通补、员工食堂、多重补助,50-150人,动信通科技,A轮,经验应届毕业生,"移动互联网,游戏",3k-4k,硕士及以上
北京,数据挖掘实习生（可转正）-国...,北京,数据挖掘,免费三餐，租房补贴，扁平管理，职业大牛,2000人以上,字节跳动,C轮,经验不限,文娱丨内容,4k-6k,本科及以上
北京,数据挖掘实习生-核心广告系统,北京,算法,弹性工作，免费三餐，租房补贴，休闲下午茶,2000人以上,字节跳动,C轮,经验不限,文娱丨内容,4k-8k,本科及以上
北京,数据挖掘实习生-人工智能实...,北京,数据挖掘,弹性工作，免费三餐，休闲下午茶，扁平管理,2000人以上,字节跳动,C轮,经验不限,文娱丨内容,6k-8k,本科及以上
北京,数据挖掘算法,北京,"互联网金融,数据挖掘,算法",周末双休、年14薪、全额五险一金,,千岱文化,不需要融资,经验3-5年,文娱丨内容,20k-40k,本科及以上
北京,数据挖掘算法,北京,"云计算,大数据",在家办公，薪水每周发放，良好的学习环境,少于15人,易恒科技,未融资,经验不限,"移动互联网,数据服务",15k-30k,学历不限
北京,数据挖掘算法（反欺诈）,北京,数据挖掘,待遇优厚,150-500人,每日一淘,不需要融资,经验1-3年,"移动互联网,电商",20k-40k,学历不限
北京,数据挖掘算法工程师,北京,数据挖掘,上市平台 14薪,2000人以上,四维图新,上市公司,经验不限,"移动互联网,消费生活",15K-25K,博士及以上
北京,数据挖掘算法工程师_微博搜索,北京,"算法,数据挖掘,数据分析","产品影响大,工作有挑战,激励有贡献,核心部门",2000人以上,新浪微博,上市公司,经验1-3年,文娱丨内容,20k-40k,本科及以上
北京,数据挖掘算法工程师-反作弊...,北京,数据挖掘,六险一金，高薪期权，弹性工作，免费三餐,2000人以上,字节跳动,C轮,经验3-5年,文娱丨内容,25k-50k,本科及以上
北京,数据挖掘算法工程师-反作弊...,北京,算法,六险一金，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验3-5年,文娱丨内容,20k-40k,本科及以上
北京,数据挖掘算法实习生-反作弊...,北京,数据挖掘,六险一金，高薪期权，弹性工作，免费三餐,2000人以上,字节跳动,C轮,经验不限,文娱丨内容,10k-20k,本科及以上
北京,数据挖掘算法专家 (MJ000030),北京,"人工智能,数据挖掘",团队大牛 行业独角兽,腾讯领投，高榕资本，IDG资本，蓝驰创投，创新工场(B轮),水滴互助,B轮,经验不限,"移动互联网,医疗丨健康",40k-60k,硕士及以上
北京,数据挖掘与分析师,北京,"NLP,算法,数据挖掘,数据仓库",三餐下午茶 房补 商业医疗,2000人以上,字节跳动,C轮,经验不限,文娱丨内容,25k-50k,本科及以上
北京,数据挖掘专家,北京,"Hadoop,Spark,算法,NLP",七险一金，带薪年假,,火花思维,C轮,经验5-10年,"移动互联网,教育",25k-40k,本科及以上
北京,数据挖掘专家,北京,"大数据,移动互联网,数据挖掘,数据分析,数据处理",互联网公司，专注AI领域，氛围好，待遇优,50-150人,太古代科技,B轮,经验5-10年,"区块链,人工智能",40k-80k,本科及以上
北京,数据挖掘专家,北京,"电商,本地生活,数据挖掘,算法",定期团建 福利诱人 薪资收入丰厚,15-50人,同人在线,未融资,经验5-10年,"移动互联网,社交",50k-70k,本科及以上
北京,数据挖掘专家,北京,"数据挖掘,算法,NLP",互联网公司，专注AI领域，氛围好，待遇优,50-150人,太古代科技,B轮,经验3-5年,"区块链,人工智能",30k-60k,本科及以上
北京,数据挖掘专家(J10319),北京,"电商,大数据,Hadoop,Spark,数据挖掘",技术大牛,腾讯领投，源码资本跟投(D轮及以上)，A股上市公司联络互动(C轮)，京东金融(B轮),会分期,D轮及以上,经验5-10年,"移动互联网,金融",50k-70k,本科及以上
北京,数据挖掘专家-抖音火山,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验3-5年,文娱丨内容,25k-50k,本科及以上
北京,数据挖掘资深算法专家,北京,"电商,移动互联网,算法,NLP,数据挖掘,搜索",行业头部公司,少于15人,数豆网络,不需要融资,经验5-10年,"企业服务,数据服务",60k-100k,本科及以上
北京,搜狗输入法-数据挖掘研究员...,北京,"大数据,算法,数据挖掘,数据分析",核心团队,2000人以上,搜狗,上市公司,经验1-3年,工具,20k-40k,硕士及以上
北京,搜狗输入法-资深数据挖掘算...,北京,"社交,大数据,数据挖掘,数据分析",团队氛围好、技术牛人多、大平台,2000人以上,搜狗,上市公司,经验5-10年,工具,35k-50k,本科及以上
北京,搜狗输入法-资深数据挖掘算...,北京,数据挖掘,"大数据,用户画像,战略产品",2000人以上,搜狗,上市公司,经验3-5年,工具,30k-55k,硕士及以上
北京,搜索数据挖掘高级研发工程...,北京,"移动互联网,数据挖掘,搜索","弹性工作,股票期权,奖金丰厚,福利待遇好",2000人以上,OPPO,不需要融资,经验3-5年,硬件,25k-50k,本科及以上
北京,算法工程师-数据挖掘,北京,"算法,数据挖掘",班车、餐补,2000人以上,京东数字科技,上市公司,经验3-5年,金融,23k-46k,本科及以上
北京,算法工程师-数据挖掘-L00171,北京,算法,"班车,餐补",2000人以上,京东数字科技,上市公司,经验3-5年,金融,23k-46k,本科及以上
北京,算法工程师专家-数据挖掘...,北京,"电商,物流,数据挖掘,Scala,Hadoop,算法",弹性工作 发展空间大 股票期权,2000人以上,美菜网,D轮及以上,经验5-10年,电商,30k-60k,本科及以上
北京,算法数据挖掘高级工程师,北京,"数据挖掘,算法","福利多,环境好,技术大牛多,晋升快",500-2000人,阅文集团,上市公司,经验3-5年,文娱丨内容,30k-50k,本科及以上
北京,算法数据挖掘高级工程师,北京,"数据挖掘,算法","技术大牛多,环境好,福利好,晋升快",500-2000人,阅文集团,上市公司,经验3-5年,文娱丨内容,30k-50k,本科及以上
北京,推荐算法机器学习NLP数...,北京,"机器学习,推荐,NLP,数据挖掘",团队成员均来自BAT,2000人以上,欢聚时代（YY Inc）,上市公司,经验1-3年,文娱丨内容,30k-60k,硕士及以上
北京,文本分析与数据挖掘工程师-...,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验3-5年,文娱丨内容,20k-40k,本科及以上
北京,无人配送部-无人车-自动驾...,北京,数据挖掘,大落地场景，复杂庞大的数据，牛人云集,2000人以上,美团点评,上市公司,经验3-5年,消费生活,25k-50k,硕士及以上
北京,智能对话–数据挖掘研究员,北京,数据挖掘,探索最前沿技术，团队气氛佳,2000人以上,搜狗,上市公司,经验1-3年,工具,20k-40k,硕士及以上
北京,智能-数据挖掘算法,北京,数据挖掘,上市公司 大牛云集 核心部门,2000人以上,美团点评,上市公司,经验3-5年,消费生活,30k-50k,硕士及以上
