排名,电影名称,年份,编剧,导演,主演,类型,类型4,国家2,片长2,评价人数,五星百分比,四星百分比,三星百分比,二星百分比,一星百分比,获奖情况1,获奖情况2,获奖情况3
No.31,鬼子来了,-2000,编剧: 姜文 / 史健全 / 述平 / 尤凤伟,导演: 姜文,主演: 姜文 / 香川照之 / 袁丁 / 姜宏波 / 丛志军 / 喜子 / 泽田谦也 / 李海滨 / 蔡卫东 / 陈述 / 陈莲梅 / 史健全 / 陈强 / 宫路佳具 / 吴大维 / 梶冈润一 / 石山雄大 / 述平 / 姜武更多...,导演: 姜文        编剧: 姜文 / 史健全 / 述平 / 尤凤伟        主演: 姜文 / 香川照之 / 袁丁 / 姜宏波 / 丛志军 / 喜子 / 泽田谦也 / 李海滨 / 蔡卫东 / 陈述 / 陈莲梅 / 史健全 / 陈强 / 宫路佳具 / 吴大维 / 梶冈润一 / 石山雄大 / 述平 / 姜武更多...        类型: 剧情 / 历史 / 战争                制片国家/地区: 中国大陆        语言: 汉语普通话 / 日语 / 唐山话        上映日期: 2000-05-12(戛纳电影节) / 2002-04-27(日本)        片长: 139分钟        又名: Devils on the Doorstep        IMDb链接: tt0245929,类型: 剧情 / 历史 / 战争 ,地区: 中国大陆 ,片长: 139分钟 ,312237,67.80%,26.20%,5.40%,0.40%,0.20%,第54届戛纳电影节                        法国文化奖-年度外国电影人            姜文,第53届戛纳电影节                        主竞赛单元 金棕榈奖(提名)            姜文,第53届戛纳电影节                        主竞赛单元 评审团大奖            姜文
No.32,十二怒汉 12 Angry Men,-1957,编剧: 雷金纳德·罗斯,导演: 西德尼·吕美特,主演: 亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒 / 李·科布 / E.G.马绍尔 / 杰克·克卢格曼  / 爱德华·宾斯 / 杰克·瓦尔登 / 约瑟夫·史威尼 / 埃德·贝格利 / 乔治·沃斯科维奇 / 罗伯特·韦伯更多...,导演: 西德尼·吕美特        编剧: 雷金纳德·罗斯        主演: 亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒 / 李·科布 / E.G.马绍尔 / 杰克·克卢格曼  / 爱德华·宾斯 / 杰克·瓦尔登 / 约瑟夫·史威尼 / 埃德·贝格利 / 乔治·沃斯科维奇 / 罗伯特·韦伯更多...        类型: 剧情                制片国家/地区: 美国        语言: 英语        上映日期: 1957-04-13(美国)        片长: 96 分钟        又名: 12怒汉        IMDb链接: tt0050083,类型: 剧情 ,地区: 美国 ,片长: 96 分钟 ,223756,73.80%,22.10%,3.70%,0.20%,0.10%,第30届奥斯卡金像奖                        最佳影片(提名)            雷金纳德·罗斯 / 亨利·方达,第30届奥斯卡金像奖                        最佳导演(提名)            西德尼·吕美特,第7届柏林国际电影节                        金熊奖 最佳影片            西德尼·吕美特
No.33,指环王3：王者无敌 The Lord of the Rings: The Return of the King,-2003,编剧: 弗兰·威尔士 / 菲利帕·鲍恩斯 / 彼得·杰克逊 / J·R·R·托尔金,导演: 彼得·杰克逊,主演: 维果·莫腾森 / 伊莱贾·伍德 / 西恩·奥斯汀 / 丽芙·泰勒 / 伊恩·麦克莱恩 / 奥兰多·布鲁姆 / 凯特·布兰切特 / 米兰达·奥图 / 安迪·瑟金斯 / 雨果·维文 / 多米尼克·莫纳汉 / 比利·博伊德 / 马尔顿·索克斯 / 卡尔·厄本 / 克里斯托弗·李 / 约翰·瑞斯-戴维斯更多...,导演: 彼得·杰克逊        编剧: 弗兰·威尔士 / 菲利帕·鲍恩斯 / 彼得·杰克逊 / J·R·R·托尔金        主演: 维果·莫腾森 / 伊莱贾·伍德 / 西恩·奥斯汀 / 丽芙·泰勒 / 伊恩·麦克莱恩 / 奥兰多·布鲁姆 / 凯特·布兰切特 / 米兰达·奥图 / 安迪·瑟金斯 / 雨果·维文 / 多米尼克·莫纳汉 / 比利·博伊德 / 马尔顿·索克斯 / 卡尔·厄本 / 克里斯托弗·李 / 约翰·瑞斯-戴维斯更多...        类型: 剧情 / 动作 / 奇幻 / 冒险        官方网站: www.lordoftherings.net/        制片国家/地区: 美国 / 新西兰        语言: 英语 / 昆雅语 / 古英语 / 辛达林语        上映日期: 2004-03-12(中国大陆) / 2003-12-17(美国)        片长: 201分钟 / 251分钟(加长版) / 263分钟(蓝光加长版)        又名: 魔戒三部曲：王者再临(台/港) / 指环王III：王者无敌 / 魔戒3：王者归来 / 指环王3：国王归来 / 指环王3：皇上回宫(豆友译名)        IMDb链接: tt0167260,类型: 剧情 / 动作 / 奇幻 / 冒险 ,地区: 美国 / 新西兰 ,片长: 201分钟 / 251分钟(加长版) / 263分钟(蓝光加长版) ,373742,64.90%,27.50%,6.90%,0.50%,0.20%,第76届奥斯卡金像奖                        最佳影片            巴里·M·奥斯本 / 弗兰·威尔士 / 彼得·杰克逊,第61届金球奖                        电影类 最佳剧情片,第57届英国电影学院奖                        电影奖 最佳影片            巴里·M·奥斯本 / 彼得·杰克逊 / 弗兰·威尔士
No.34,控方证人 Witness for the Prosecution,-1957,编剧: 阿加莎·克里斯蒂 / 比利·怀德 / 哈里·库尼兹,导演: 比利·怀德,主演: 泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿 / 爱尔莎·兰切斯特 / 约翰·威廉姆斯 / 亨利·丹尼尔 / 伊安·沃尔夫 / 托林·撒切尔 / 诺玛·威登 / 尤娜·奥康纳 / 茹塔·李更多...,导演: 比利·怀德        编剧: 阿加莎·克里斯蒂 / 比利·怀德 / 哈里·库尼兹        主演: 泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿 / 爱尔莎·兰切斯特 / 约翰·威廉姆斯 / 亨利·丹尼尔 / 伊安·沃尔夫 / 托林·撒切尔 / 诺玛·威登 / 尤娜·奥康纳 / 茹塔·李更多...        类型: 剧情 / 悬疑 / 犯罪                制片国家/地区: 美国        语言: 英语 / 德语        上映日期: 1957-12-17(美国)        片长: 116分钟        又名: 雄才伟略 / 情妇        IMDb链接: tt0051201,类型: 剧情 / 悬疑 / 犯罪 ,地区: 美国 ,片长: 116分钟 ,156267,81.10%,17.00%,1.80%,0.10%,0.10%,第30届奥斯卡金像奖                        最佳影片(提名)            小阿瑟·霍恩布洛,第30届奥斯卡金像奖                        最佳导演(提名)            比利·怀德,第30届奥斯卡金像奖                        最佳男主角(提名)            查尔斯·劳顿
No.35,天空之城 天空の城ラピュタ,-1986,编剧: 宫崎骏,导演: 宫崎骏,主演: 田中真弓 / 横泽启子 / 初井言荣 / 寺田农 / 常田富士男 / 永井一郎 / 糸博 / 鹫尾真知子 / 神山卓三 / 安原义人 / 槐柳二 / 鳕子更多...,导演: 宫崎骏        编剧: 宫崎骏        主演: 田中真弓 / 横泽启子 / 初井言荣 / 寺田农 / 常田富士男 / 永井一郎 / 糸博 / 鹫尾真知子 / 神山卓三 / 安原义人 / 槐柳二 / 鳕子更多...        类型: 动画 / 奇幻 / 冒险                制片国家/地区: 日本        语言: 日语        上映日期: 1992(中国大陆) / 1986-08-02(日本)        片长: 125分钟        又名: Tenkû no shiro Rapyuta / Laputa: Castle in the Sky        IMDb链接: tt0092067,类型: 动画 / 奇幻 / 冒险 ,地区: 日本 ,片长: 125分钟 ,437183,60.30%,32.70%,6.60%,0.30%,0.10%,,,
No.36,搏击俱乐部 Fight Club,-1999,编剧: 恰克·帕拉尼克 / 吉姆·乌尔斯,导演: 大卫·芬奇,主演: 爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特 / 扎克·格雷尼尔 / 米特·洛夫 / 杰瑞德·莱托 / 艾恩·贝利 / 里奇蒙德·阿奎特  / 乔治·马奎尔更多...,导演: 大卫·芬奇        编剧: 恰克·帕拉尼克 / 吉姆·乌尔斯        主演: 爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特 / 扎克·格雷尼尔 / 米特·洛夫 / 杰瑞德·莱托 / 艾恩·贝利 / 里奇蒙德·阿奎特  / 乔治·马奎尔更多...        类型: 剧情 / 动作 / 悬疑 / 惊悚                制片国家/地区: 美国 / 德国        语言: 英语        上映日期: 1999-09-10(威尼斯电影节) / 1999-10-15(美国)        片长: 139 分钟        又名: 搏击会(港) / 斗阵俱乐部(台) / 格斗俱乐部        IMDb链接: tt0137523,类型: 剧情 / 动作 / 悬疑 / 惊悚 ,地区: 美国 / 德国 ,片长: 139 分钟 ,488541,60.50%,30.60%,7.70%,0.80%,0.30%,第72届奥斯卡金像奖                        最佳音效剪辑(提名)            伦·克斯 / 理查德·姆尼斯,,
No.37,飞屋环游记 Up,-2009,编剧: 保伯·彼得森 / 彼特·道格特 / 汤姆·麦卡锡,导演: 彼特·道格特 / 鲍勃·彼德森,主演: 爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井 / 鲍勃·彼德森 / 戴尔里·林多 / 杰罗姆·兰福特 / 约翰·拉岑贝格 / 大卫·卡耶 / 艾丽·道克特 / 杰里米·利里 / 米凯·麦高万 / 丹尼·曼恩 / 唐纳德·富利洛夫 / 杰斯·哈梅尔 / 乔什·库雷 / 彼特·道格特更多...,导演: 彼特·道格特 / 鲍勃·彼德森        编剧: 保伯·彼得森 / 彼特·道格特 / 汤姆·麦卡锡        主演: 爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井 / 鲍勃·彼德森 / 戴尔里·林多 / 杰罗姆·兰福特 / 约翰·拉岑贝格 / 大卫·卡耶 / 艾丽·道克特 / 杰里米·利里 / 米凯·麦高万 / 丹尼·曼恩 / 唐纳德·富利洛夫 / 杰斯·哈梅尔 / 乔什·库雷 / 彼特·道格特更多...        类型: 剧情 / 喜剧 / 动画 / 冒险                制片国家/地区: 美国        语言: 英语        上映日期: 2009-08-04(中国大陆) / 2009-05-13(戛纳电影节) / 2009-05-29(美国)        片长: 96分钟        又名: 冲天救兵(港) / 天外奇迹(台) / 飞屋历险记        IMDb链接: tt1049413,类型: 剧情 / 喜剧 / 动画 / 冒险 ,地区: 美国 ,片长: 96分钟 ,665483,55.80%,35.60%,8.10%,0.40%,0.10%,第82届奥斯卡金像奖                        最佳影片(提名)            乔纳斯·里维拉,第66届威尼斯电影节                        未来电影数字奖-特别提及            彼特·道格特,第67届金球奖                        电影类 最佳动画长片
No.38,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,-1995,编剧: 刘镇伟 / 吴承恩,导演: 刘镇伟,主演: 周星驰 / 吴孟达 / 罗家英 / 蓝洁瑛 / 莫文蔚 / 江约诚 / 陆树铭 / 刘镇伟 / 朱茵 / 李健仁更多...,导演: 刘镇伟        编剧: 刘镇伟 / 吴承恩        主演: 周星驰 / 吴孟达 / 罗家英 / 蓝洁瑛 / 莫文蔚 / 江约诚 / 陆树铭 / 刘镇伟 / 朱茵 / 李健仁更多...        类型: 喜剧 / 爱情 / 奇幻 / 冒险                制片国家/地区: 香港 / 中国大陆        语言: 粤语 / 汉语普通话        上映日期: 2014-10-24(中国大陆) / 1995-01-21(香港)        片长: 87分钟        又名: 西游记101回月光宝盒 / 齐天大圣东游记 / 大话东游之一 / A Chinese Odyssey Part One - Pandora's Box        IMDb链接: tt0112778,类型: 喜剧 / 爱情 / 奇幻 / 冒险 ,地区: 香港 / 中国大陆 ,片长: 87分钟 ,564794,57.70%,32.90%,8.50%,0.60%,0.20%,第15届香港电影金像奖                        最佳编剧(提名)            刘镇伟,,
No.39,摔跤吧！爸爸 Dangal,-2016,编剧: 比于什·古普塔 / 施热亚·简 / 尼基尔·麦罗特拉 / 涅提·蒂瓦里,导演: 涅提·蒂瓦里,主演: 阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 塞伊拉·沃西 / 苏哈妮·巴特纳格尔 / 里特维克·萨霍里 / 吉里什·库卡尼更多...,导演: 涅提·蒂瓦里        编剧: 比于什·古普塔 / 施热亚·简 / 尼基尔·麦罗特拉 / 涅提·蒂瓦里        主演: 阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 / 阿帕尔夏克提·库拉那 / 沙克希·坦沃 / 塞伊拉·沃西 / 苏哈妮·巴特纳格尔 / 里特维克·萨霍里 / 吉里什·库卡尼更多...        类型: 剧情 / 家庭 / 传记 / 运动                制片国家/地区: 印度        语言: 印地语        上映日期: 2017-05-05(中国大陆) / 2016-12-23(印度)        片长: 161分钟(印度) / 140分钟(中国大陆)        又名: 我和我的冠军女儿(台) / 打死不离3父女(港) / 摔跤吧！老爸 / 摔跤家族 / दंगल / Wrestling Competition        IMDb链接: tt5074352,类型: 剧情 / 家庭 / 传记 / 运动 ,地区: 印度 ,片长: 161分钟(印度) / 140分钟(中国大陆) ,690763,60.30%,32.70%,6.40%,0.40%,0.20%,第4届豆瓣电影年度榜单                        评分最高的外语电影,第4届豆瓣电影年度榜单                        最受关注的院线电影(提名),第4届豆瓣电影年度榜单                        年度电影原声(提名)
No.40,罗马假日 Roman Holiday,-1953,编剧: 达尔顿·特朗勃 / 伊安·麦克莱伦·亨特 / 约翰·戴顿,导演: 威廉·惠勒,主演: 奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 / 哈特利·鲍尔 / 哈考特·威廉姆斯,导演: 威廉·惠勒        编剧: 达尔顿·特朗勃 / 伊安·麦克莱伦·亨特 / 约翰·戴顿        主演: 奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 / 哈特利·鲍尔 / 哈考特·威廉姆斯        类型: 剧情 / 喜剧 / 爱情                制片国家/地区: 美国        语言: 英语 / 意大利语 / 德语        上映日期: 1953-09-02(美国)        片长: 118 分钟        又名: 金枝玉叶(港) / 罗马假期(台)        IMDb链接: tt0046250,类型: 剧情 / 喜剧 / 爱情 ,地区: 美国 ,片长: 118 分钟 ,501802,56.90%,34.90%,7.80%,0.30%,0.10%,第26届奥斯卡金像奖                        最佳影片(提名)            威廉·惠勒,第26届奥斯卡金像奖                        最佳导演(提名)            威廉·惠勒,第14届威尼斯电影节                        主竞赛单元 金狮奖 (提名)            威廉·惠勒
No.41,哈尔的移动城堡 ハウルの動く城,-2004,编剧: 宫崎骏 / 吉田玲子,导演: 宫崎骏,主演: 倍赏千惠子 / 木村拓哉 / 美轮明宏 / 我修院达也 / 神木隆之介 / 伊崎充则 / 大泉洋 / 大塚明夫 / 原田大二郎 / 加藤治子 / 都筑香弥子更多...,导演: 宫崎骏        编剧: 宫崎骏 / 吉田玲子        主演: 倍赏千惠子 / 木村拓哉 / 美轮明宏 / 我修院达也 / 神木隆之介 / 伊崎充则 / 大泉洋 / 大塚明夫 / 原田大二郎 / 加藤治子 / 都筑香弥子更多...        类型: 动画 / 奇幻 / 冒险                制片国家/地区: 日本        语言: 日语        上映日期: 2004-09-05(威尼斯电影节) / 2004-11-20(日本)        片长: 119分钟        又名: 呼啸山城 / 霍尔的移动城堡 / 豪尔的机动城堡 / Howl's Moving Castle / Hauru no ugoku shiro        IMDb链接: tt0347149,类型: 动画 / 奇幻 / 冒险 ,地区: 日本 ,片长: 119分钟 ,477803,57.30%,33.90%,8.20%,0.50%,0.10%,第78届奥斯卡金像奖                        最佳动画长片(提名)            宫崎骏,第61届威尼斯电影节                        主竞赛单元 金狮奖 (提名)            宫崎骏,第25届香港电影金像奖                        最佳亚洲电影(提名)
No.42,窃听风暴 Das Leben der Anderen,-2006,编剧: 弗洛里安·亨克尔·冯·多纳斯马尔克,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克,主演: 乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫 / 乌尔里希·图库尔 / 托马斯·蒂梅,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克        编剧: 弗洛里安·亨克尔·冯·多纳斯马尔克        主演: 乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫 / 乌尔里希·图库尔 / 托马斯·蒂梅        类型: 剧情 / 悬疑                制片国家/地区: 德国        语言: 德语        上映日期: 2006-03-23(德国)        片长: 137分钟        又名: 他人的生活 / 别人的生活 / 窃听者 / 别样人生 / The Lives of Others        IMDb链接: tt0405094,类型: 剧情 / 悬疑 ,地区: 德国 ,片长: 137分钟 ,298387,63.70%,30.00%,5.70%,0.40%,0.10%,第79届奥斯卡金像奖                        最佳外语片,第64届金球奖                        电影类 最佳外语片(提名),第61届英国电影学院奖                        电影奖 最佳影片(提名)            奎林·柏格 / 马克斯·威德曼
No.43,闻香识女人 Scent of a Woman,-1992,编剧: 博·古德曼 / 乔瓦尼·阿尔皮诺,导演: 马丁·布莱斯特,主演: 阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩 / 加布里埃尔·安瓦尔 / 菲利普·塞默·霍夫曼 / Richard Venture / 布莱德利·惠特福德 / Rochelle Oliver / Margaret Eginton / Tom Riis Farrell / Nicholas Sadler / 托德·路易斯 / Matt Smith / 吉恩·坎菲尔德 / 弗兰西丝·康罗伊更多...,导演: 马丁·布莱斯特        编剧: 博·古德曼 / 乔瓦尼·阿尔皮诺        主演: 阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩 / 加布里埃尔·安瓦尔 / 菲利普·塞默·霍夫曼 / Richard Venture / 布莱德利·惠特福德 / Rochelle Oliver / Margaret Eginton / Tom Riis Farrell / Nicholas Sadler / 托德·路易斯 / Matt Smith / 吉恩·坎菲尔德 / 弗兰西丝·康罗伊更多...        类型: 剧情                制片国家/地区: 美国        语言: 英语        上映日期: 1992-12-23(美国)        片长: 157 分钟        又名: 女人香 / 女人的芳香        IMDb链接: tt0105323,类型: 剧情 ,地区: 美国 ,片长: 157 分钟 ,426349,57.70%,34.20%,7.50%,0.50%,0.10%,第65届奥斯卡金像奖                        最佳影片(提名)            马丁·布莱斯特,第65届奥斯卡金像奖                        最佳导演(提名)            马丁·布莱斯特,第47届英国电影学院奖                        电影奖 最佳改编剧本(提名)            博·古德曼
No.44,辩护人 변호인,-2013,编剧: 杨宇硕 / 尹贤浩,导演: 杨宇硕,主演: 宋康昊 / 吴达洙 / 金英爱 / 郭度沅 / 任时完,导演: 杨宇硕        编剧: 杨宇硕 / 尹贤浩        主演: 宋康昊 / 吴达洙 / 金英爱 / 郭度沅 / 任时完        类型: 剧情        官方网站: www.lawyersong.kr        制片国家/地区: 韩国        语言: 韩语        上映日期: 2013-12-18(韩国)        片长: 127分钟        又名: 逆权大状(港) / 正义辩护人(台) / The Attorney        IMDb链接: tt3404140,类型: 剧情 ,地区: 韩国 ,片长: 127分钟 ,295100,64.70%,29.90%,5.00%,0.30%,0.10%,第35届韩国电影青龙奖                        最佳影片,第8届亚洲电影大奖                        最佳男主角(提名)            宋康昊,第50届百想艺术大赏                        电影类 大赏            宋康昊
No.45,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",-1998,编剧: 盖·里奇,导演: 盖·里奇,主演: 杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰 / 杰森·斯坦森 / 斯蒂文·麦金托什 / 斯汀 / 维尼·琼斯更多...,导演: 盖·里奇        编剧: 盖·里奇        主演: 杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰 / 杰森·斯坦森 / 斯蒂文·麦金托什 / 斯汀 / 维尼·琼斯更多...        类型: 剧情 / 喜剧 / 犯罪                制片国家/地区: 英国        语言: 英语        上映日期: 1998-08-28(英国)        片长: 107分钟 / 115分钟(导演剪辑版)        又名: 够姜四小强(港) / 两根枪管(台) / 两只老烟枪 / 魔高一丈 / 两杆老烟枪        IMDb链接: tt0120735,类型: 剧情 / 喜剧 / 犯罪 ,地区: 英国 ,片长: 107分钟 / 115分钟(导演剪辑版) ,334917,61.80%,30.90%,6.60%,0.60%,0.20%,第11届东京国际电影节                        主竞赛单元 最佳影片(提名)            盖·里奇,第11届东京国际电影节                        主竞赛单元 最佳导演            盖·里奇,
No.46,飞越疯人院 One Flew Over the Cuckoo's Nest,-1975,编剧: 劳伦斯·奥邦 / 博·古德曼 / 肯·凯西 / 达尔·瓦瑟曼,导演: 米洛斯·福尔曼,主演: 杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德 / 路易丝·弗莱彻 / 威尔·萨姆森 / 特德·马克兰德 / 布拉德·道里夫 / 斯加特曼·克罗索斯 / 迈克尔·贝里曼 / 彼得·布罗科 / 穆瓦科·卡姆布卡 / 威廉·达尔 / 乔西普·艾利克 / 西德尼·拉斯克 / 凯·李 / 德怀特·马费尔德 / 路易莎·莫里茨 / 威廉·雷德菲尔德 / 菲利普·罗斯 / 米米·萨奇席恩 / 文森特·斯卡维利 / 米斯·斯马尔 / 德罗斯·V·史密斯更多...,导演: 米洛斯·福尔曼        编剧: 劳伦斯·奥邦 / 博·古德曼 / 肯·凯西 / 达尔·瓦瑟曼        主演: 杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德 / 路易丝·弗莱彻 / 威尔·萨姆森 / 特德·马克兰德 / 布拉德·道里夫 / 斯加特曼·克罗索斯 / 迈克尔·贝里曼 / 彼得·布罗科 / 穆瓦科·卡姆布卡 / 威廉·达尔 / 乔西普·艾利克 / 西德尼·拉斯克 / 凯·李 / 德怀特·马费尔德 / 路易莎·莫里茨 / 威廉·雷德菲尔德 / 菲利普·罗斯 / 米米·萨奇席恩 / 文森特·斯卡维利 / 米斯·斯马尔 / 德罗斯·V·史密斯更多...        类型: 剧情                制片国家/地区: 美国        语言: 英语        上映日期: 1975-11-19(美国)        片长: 133分钟        又名: 飞越杜鹃窝(台) / 飞越喜鹊巢        IMDb链接: tt0073486,类型: 剧情 ,地区: 美国 ,片长: 133分钟 ,338119,61.00%,31.60%,6.80%,0.50%,0.20%,第48届奥斯卡金像奖                        最佳影片            索尔·扎恩兹 / 迈克尔·道格拉斯,第48届奥斯卡金像奖                        最佳导演            米洛斯·福尔曼,第48届奥斯卡金像奖                        最佳男主角            杰克·尼科尔森
No.47,死亡诗社 Dead Poets Society,-1989,编剧: 汤姆·舒尔曼,导演: 彼得·威尔,主演: 罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克 / 乔西·查尔斯 / 盖尔·汉森 / 迪伦·库斯曼 / 阿勒隆·鲁杰罗 / 詹姆斯·沃特斯顿 / 诺曼·劳埃德 / 柯特伍德·史密斯 / 卡拉·贝尔韦尔 / 利昂·波纳尔 / 乔治·马丁 / 乔·奥菲耶里 / 马特·凯里更多...,导演: 彼得·威尔        编剧: 汤姆·舒尔曼        主演: 罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克 / 乔西·查尔斯 / 盖尔·汉森 / 迪伦·库斯曼 / 阿勒隆·鲁杰罗 / 詹姆斯·沃特斯顿 / 诺曼·劳埃德 / 柯特伍德·史密斯 / 卡拉·贝尔韦尔 / 利昂·波纳尔 / 乔治·马丁 / 乔·奥菲耶里 / 马特·凯里更多...        类型: 剧情                制片国家/地区: 美国        语言: 英语        上映日期: 1989-06-02(多伦多首映) / 1989-06-09(美国)        片长: 128 分钟        又名: 暴雨骄阳(港) / 春风化雨(台) / 壮志骄阳        IMDb链接: tt0097165,类型: 剧情 ,地区: 美国 ,片长: 128 分钟 ,364449,59.50%,32.20%,7.50%,0.60%,0.20%,第62届奥斯卡金像奖                        最佳影片(提名)            保罗·乔恩格·威特 / 托尼·托马斯 / 史蒂文·哈夫特,第62届奥斯卡金像奖                        最佳导演(提名)            彼得·威尔,第62届奥斯卡金像奖                        最佳男主角(提名)            罗宾·威廉姆斯
No.48,V字仇杀队 V for Vendetta,-2005,编剧: 莉莉·沃卓斯基 / 拉娜·沃卓斯基,导演: 詹姆斯·麦克特格,主演: 娜塔莉·波特曼 / 雨果·维文 / 斯蒂芬·瑞 / 斯蒂芬·弗雷 / 约翰·赫特 / 蒂姆·皮戈特-史密斯 / 鲁珀特·格雷夫斯 / 罗杰·阿拉姆 / 本·迈尔斯 / 西妮德·库萨克 / 娜塔莎·怀特曼 / 约翰·斯坦丁 / 埃迪·马森 / 克里夫·阿什伯恩 / Emma Field-Rayner / 伊安·布尔费尔德 / Mark Phoenix / Alister Mazzotti / 比莉·库克 / 盖伊·亨利 / 科斯马·肖 / Megan Gay / Roderic Culver / Tara Hacking / 安迪·莱什利兹 / 查德·斯塔赫斯基 / 布拉德利·斯蒂夫·福特 / Madeleine Rakic-Platt / 塞丽娜·贾尔斯 / 卡斯腾·海斯 / 伊莫琴·普茨 / 劳拉·格林伍德 / Kyra Meyer / 玛丽·萧克莱  / 理查德·莱恩 / Michael Simkins更多...,导演: 詹姆斯·麦克特格        编剧: 莉莉·沃卓斯基 / 拉娜·沃卓斯基        主演: 娜塔莉·波特曼 / 雨果·维文 / 斯蒂芬·瑞 / 斯蒂芬·弗雷 / 约翰·赫特 / 蒂姆·皮戈特-史密斯 / 鲁珀特·格雷夫斯 / 罗杰·阿拉姆 / 本·迈尔斯 / 西妮德·库萨克 / 娜塔莎·怀特曼 / 约翰·斯坦丁 / 埃迪·马森 / 克里夫·阿什伯恩 / Emma Field-Rayner / 伊安·布尔费尔德 / Mark Phoenix / Alister Mazzotti / 比莉·库克 / 盖伊·亨利 / 科斯马·肖 / Megan Gay / Roderic Culver / Tara Hacking / 安迪·莱什利兹 / 查德·斯塔赫斯基 / 布拉德利·斯蒂夫·福特 / Madeleine Rakic-Platt / 塞丽娜·贾尔斯 / 卡斯腾·海斯 / 伊莫琴·普茨 / 劳拉·格林伍德 / Kyra Meyer / 玛丽·萧克莱  / 理查德·莱恩 / Michael Simkins更多...        类型: 剧情 / 动作 / 科幻 / 惊悚                制片国家/地区: 美国 / 英国 / 德国        语言: 英语        上映日期: 2005-12-11(BNAT电影节) / 2006-03-17(美国)        片长: 132分钟        又名: V煞(港) / V怪客(台) / 复仇者V / V字仇杀令 / V字别动队        IMDb链接: tt0434409,类型: 剧情 / 动作 / 科幻 / 惊悚 ,地区: 美国 / 英国 / 德国 ,片长: 132分钟 ,553565,55.30%,33.50%,9.80%,1.10%,0.40%,,,
